"PTS","MP","AST","TRB","STL","BLK","TOV","FG.","FT.","eFG.","Pos"
21.0772446830748,35.7,2.4,4.5,0.8,0.8,1.8,0.475,0.813,0.554,"F"
27.8600925583202,35,7,9,0,1,4,0.5,1,0.583,"F"
4.264303061681,9.9,0.6,1.3,0.2,0,0.3,0.424,1,0.6,"G"
6.29674116970048,12.5,0.5,1.3,0.5,0.3,0.9,0.449,1,0.612,"G"
3.93497550095526,14.3,0.7,1.3,0.3,0,1,0.273,0,0.409,"G"
6.17117525069253,11.9,0.5,1.3,0.6,0.4,0.9,0.5,1,0.671,"G"
18.4399134950107,31.5,6.8,7.2,1,0.8,2.8,0.527,0.713,0.57,"F"
21.7572984956271,34.2,3.7,3.7,0.8,0.2,2.6,0.416,0.786,0.485,"G"
6.12060840271191,14,0.9,3.6,0.4,0.4,0.9,0.54,0.776,0.623,"F"
5.01358494686729,15,0.7,2.8,0.8,0.7,0.6,0.565,0.667,0.625,"G"
7.57029737712481,19.5,1.2,2.6,0.3,0.3,0.8,0.488,0.744,0.534,"F"
11.8916490530337,25.7,1.7,3,0.7,0.1,1.2,0.537,0.723,0.626,"G"
6.77511207323834,19.5,1,2.1,0.6,0.2,0.6,0.465,0.894,0.56,"F"
3.72944905584257,13.9,1.5,3.8,0.3,0.2,0.5,0.485,0.656,0.573,"C"
14.065938041217,29.9,2.1,3.2,0.7,0.4,1,0.468,0.796,0.599,"G"
9.72171569573919,23.3,0.9,4.5,0.3,0.4,0.8,0.486,0.739,0.53,"F"
11.3353693666136,24.3,1.2,4.3,0.4,0.4,1.2,0.488,0.759,0.534,"F"
8.48066140470677,22.4,0.7,4.7,0.2,0.4,0.5,0.485,0.721,0.525,"F"
17.3070631482343,33.6,10.4,3.7,1.6,0.4,2.5,0.49,0.871,0.586,"G"
4.27601747964894,9.2,1.2,1.3,0.1,0,0.8,0.321,0.778,0.375,"F"
6.16391255131389,16,1.1,1.9,0.6,0.2,0.9,0.43,0.75,0.517,"G"
5.36266833802372,13.9,1.3,1.5,0.6,0.2,0.8,0.439,0.838,0.518,"G"
7.43105525465011,18.5,1,2.3,0.5,0.2,1,0.423,0.667,0.516,"G"
13.5477920146504,30.3,1.8,3.5,0.7,0.2,0.8,0.401,0.77,0.527,"G"
23.7131770699187,36.8,10.7,6.1,1.2,0.5,3.4,0.441,0.867,0.536,"G"
6.55487354840219,14.8,1.4,1.9,0.4,0.1,1,0.438,0.823,0.533,"G"
3.18754182471829,5.3,0.4,0.8,0,0.1,0,0.5,1,0.594,"F"
4.38302769702162,11.9,0.6,2.8,0.3,0.4,0.6,0.598,0.693,0.598,"C"
9.32564337936919,24.7,1.2,2,0.9,0.3,0.6,0.45,0.9,0.603,"G"
7.01478905175862,20.6,1.4,2.2,0.5,0.2,0.6,0.457,0.643,0.618,"G"
4.88377993537253,13.4,0.5,2.1,0.5,0.1,0.6,0.439,0.756,0.514,"G"
16.7029035918062,32.9,2.5,5.7,0.9,0.5,1.2,0.501,0.876,0.575,"F"
6.08696445470254,24,6,4.4,2.2,0.4,1.2,0.417,0.733,0.458,"G"
15.9232442645835,32.3,3.8,7.8,1.2,0.3,1.5,0.529,0.75,0.588,"F"
16.8885872572769,33.4,3.9,8.2,1.1,0.2,1.5,0.504,0.731,0.551,"F"
14.4751174261407,30,3.6,7,1.4,0.5,1.5,0.586,0.789,0.672,"G"
6.87117001375179,19.8,1.2,6.5,0.6,0.8,0.8,0.535,0.676,0.547,"C"
2.35014493365828,10.1,0,1.6,0.1,0.3,0.1,0.345,0.8,0.397,"C"
4.63933793729807,16.1,0.9,2.6,0.4,0.3,0.4,0.455,0.706,0.631,"F"
4.58626010594242,13,0.7,2.8,0.4,0.4,0.7,0.551,0.699,0.561,"C"
13.8181189807414,28.3,6.2,2.9,1.4,0.4,2.3,0.377,0.821,0.426,"G"
17.2403730305187,31.5,4.1,4.3,0.8,0.2,2,0.475,0.811,0.52,"F"
3.74804585522714,14.6,0.6,2.9,0.4,0.1,0.4,0.421,0.563,0.496,"F"
5.4630595319604,12.1,0.9,4.7,0.4,0.3,1,0.527,0.779,0.536,"C"
22.1451808498686,34.9,4.2,5.4,0.8,0.2,2.4,0.439,0.934,0.531,"G"
15.6800161036722,31,2.8,5,1.2,0.3,1.7,0.458,0.822,0.596,"F"
5.37328585165765,17.9,0.8,3.5,0.7,0.3,0.8,0.431,0.464,0.516,"F"
5.98466116947847,18.1,2.4,1.8,0.6,0.1,0.7,0.47,0.764,0.572,"G"
6.72222031431892,19.1,2.5,1.9,0.5,0.1,0.8,0.447,0.739,0.534,"G"
5.44302641387815,15.1,1.9,1.6,0.6,0.3,0.6,0.559,0.889,0.721,"G"
0.683335807964949,1.8,0,0.6,0,0,0,0.5,0,0.625,"F"
4.47470039067689,13.4,1.4,1.2,0.6,0.2,0.6,0.418,0.844,0.5,"G"
19.6117366270975,32.6,7.4,5.1,1.2,0.4,2.9,0.479,0.859,0.556,"G"
4.53299868496124,15.3,0.9,1.2,0.4,0.4,0.5,0.377,0.625,0.49,"G"
2.65606462030979,14.7,0.9,0.8,0.2,0.4,0.4,0.384,0,0.504,"G"
4.50398745725188,16.4,0.9,1.8,0.8,0.5,0.6,0.367,0.625,0.468,"G"
3.64586938098177,8.3,0.2,1.9,0.1,0.3,0.3,0.618,0.789,0.646,"C"
12.3339408763741,30.5,3,6.2,0.5,1,0.6,0.476,0.714,0.627,"C"
10.0344742822297,20.2,3.8,3.2,0.6,0.4,1.9,0.419,0.75,0.467,"G"
4.76142706470279,14.4,0.8,1.7,0.3,0.2,0.5,0.472,0.75,0.566,"F"
5.01992885899546,15.9,0.6,1.9,0.2,0.1,0.4,0.363,0.833,0.489,"F"
3.10424575116899,5.6,0.6,0,0,0,0.2,0.222,1,0.333,"G"
13.4582715024521,29.4,2.9,3.3,1.1,0.3,1.3,0.485,0.725,0.603,"G"
5.33133230347552,13.6,1.4,3,0.4,0.6,0.7,0.6,0.938,0.72,"C"
16.4711431896831,31.7,1.4,4.2,0.5,0.3,1.2,0.461,0.826,0.522,"F"
8.62969027645559,19.4,3.1,2.4,0.7,0.3,1.5,0.399,0.843,0.502,"G"
9.0774168833977,19.5,3,2,0.7,0.3,1.6,0.399,0.866,0.503,"G"
6.62635123994777,18.9,3.4,3.5,0.8,0.1,1.1,0.401,0.75,0.496,"G"
4.46975555230989,11.6,0.3,2.8,0.1,0.4,0.7,0.481,0.615,0.537,"C"
5.36408544051641,14.1,2.4,2.1,0.5,0.4,1.1,0.467,0.667,0.5,"F"
9.01857812626337,22.7,3.3,2.8,0.7,0.1,1.2,0.435,0.857,0.603,"F"
23.5214516617665,34.2,5.8,5.5,0.7,0.4,3.3,0.484,0.882,0.522,"F"
22.701111430379,37.4,5.5,5.1,1.1,0.8,2.1,0.494,0.905,0.572,"G"
23.1050553668355,37,5.3,5.1,1,0.8,2.3,0.486,0.883,0.565,"G"
22.4821662963846,38.2,6,5,1.3,0.6,1.9,0.51,0.947,0.586,"G"
1.35526355842866,11.3,0.5,4,1.3,0.4,0.4,0.415,0.556,0.472,"F"
20.2943132857517,31.1,5.2,3.9,0.8,0.2,3.2,0.416,0.747,0.477,"G"
0,5,1,2,0,0,0,0,0,0,"G"
